t_ms,x_g,y_g,z_g
417.022,0.99,-0.05,-0.05
417.613,0.99,-0.05,-0.02
418.203,0.99,-0.03,-0.01
418.794,0.98,-0.04,-0.01
419.384,0.99,-0.04,-0.01
419.975,1.01,-0.07,0.01
420.537,0.97,-0.06,-0.02
421.127,0.99,-0.05,0.0
421.689,0.99,-0.05,-0.01
422.279,0.99,-0.04,-0.02
422.869,0.98,-0.05,-0.0
423.460,1.0,-0.04,-0.02
424.050,1.0,-0.03,0.01
424.612,1.0,-0.07,0.0
425.173,0.98,-0.03,-0.01
425.764,0.97,-0.03,-0.01
426.354,0.98,-0.06,-0.0
426.945,0.99,-0.05,-0.01
427.535,1.03,-0.07,0.05
428.097,0.99,-0.05,0.05
428.659,1.0,-0.04,-0.0
429.249,0.99,-0.03,-0.01
429.839,0.99,-0.05,0.0
430.401,0.98,-0.03,-0.0
430.976,1.0,-0.04,-0.02
431.566,1.0,-0.04,-0.02
432.156,0.98,-0.04,-0.01
432.746,1.0,-0.09,-0.03
433.337,1.0,-0.07,0.01
433.899,0.99,-0.03,0.0
434.461,0.99,-0.04,-0.03
435.051,1.03,-0.03,0.05
435.613,0.98,-0.04,0.08
436.175,0.96,-0.05,0.0
436.737,0.99,-0.03,-0.01
437.328,0.99,-0.05,-0.01
437.918,0.99,-0.04,-0.0
438.509,0.99,-0.04,-0.03
439.099,0.99,-0.03,-0.02
439.689,0.99,-0.07,-0.01
440.279,0.99,-0.04,-0.02
440.870,1.0,-0.06,0.01
441.432,0.99,-0.06,-0.01
442.022,0.99,-0.04,0.0
442.584,1.02,-0.04,-0.03
443.175,0.99,-0.05,0.05
443.737,0.99,-0.04,-0.05
444.327,0.99,-0.05,-0.02
444.918,0.99,-0.05,-0.0
445.508,1.0,-0.04,-0.01
446.099,0.98,-0.05,-0.02
446.689,0.99,-0.05,-0.01
447.280,1.0,-0.05,0.0
447.842,0.99,-0.04,0.0
448.404,1.01,-0.04,-0.02
448.994,1.0,-0.03,-0.02
449.585,0.99,-0.04,-0.02
450.175,1.0,-0.05,0.0
450.737,0.99,-0.03,0.02
451.299,1.0,-0.03,0.02
451.861,1.0,-0.04,-0.04
452.452,0.98,-0.04,-0.01
453.042,0.99,-0.06,0.01
453.604,0.99,-0.05,-0.0
454.194,0.96,-0.07,-0.02
454.784,0.98,-0.01,-0.01
455.375,1.0,-0.04,-0.01
